cm	fotos	estojo	personnalite	laminas	base	final
25	90	1	0	36	R$ 2.700,00	R$ 2.660,00
25	91	1	0	36	R$ 2.730,00	R$ 2.684,00
25	92	1	0	37	R$ 2.760,00	R$ 2.708,00
25	93	1	0	37	R$ 2.790,00	R$ 2.732,00
25	94	1	0	38	R$ 2.820,00	R$ 2.756,00
25	95	1	0	38	R$ 2.850,00	R$ 2.780,00
25	96	1	0	38	R$ 2.880,00	R$ 2.804,00
25	97	1	0	39	R$ 2.910,00	R$ 2.828,00
25	98	1	0	39	R$ 2.940,00	R$ 2.852,00
25	99	1	0	40	R$ 2.970,00	R$ 2.876,00
25	100	1	0	40	R$ 3.000,00	R$ 2.900,00
25	101	1	0	40	R$ 3.030,00	R$ 2.924,00
25	102	1	0	41	R$ 3.060,00	R$ 2.948,00
25	103	1	0	41	R$ 3.090,00	R$ 2.972,00
25	104	1	0	42	R$ 3.120,00	R$ 2.996,00
25	105	1	0	42	R$ 3.150,00	R$ 3.020,00
25	106	1	0	42	R$ 3.180,00	R$ 3.044,00
25	107	1	0	43	R$ 3.210,00	R$ 3.068,00
25	108	1	0	43	R$ 3.240,00	R$ 3.092,00
25	109	1	0	44	R$ 3.270,00	R$ 3.116,00
25	110	1	0	44	R$ 3.300,00	R$ 3.140,00
25	111	1	0	44	R$ 3.330,00	R$ 3.164,00
25	112	1	0	45	R$ 3.360,00	R$ 3.188,00
25	113	1	0	45	R$ 3.390,00	R$ 3.212,00
25	25	0	1	10	R$ 750,00	R$ 1.400,00
25	26	0	1	10	R$ 780,00	R$ 1.430,00
25	27	0	1	11	R$ 810,00	R$ 1.460,00
25	28	0	1	11	R$ 840,00	R$ 1.490,00
25	29	0	1	12	R$ 870,00	R$ 1.520,00
25	30	0	1	12	R$ 900,00	R$ 1.550,00
25	31	0	1	12	R$ 930,00	R$ 1.580,00
